COUNTRY_ID,COUNTRY
0,Afghanistan
1,Angola
2,Albania
3,United Arab Emirates
4,Argentina
5,Armenia
6,Antarctica
7,Fr. S. Antarctic Lands
8,Australia
9,Austria
10,Azerbaijan
11,Burundi
12,Belgium
13,Benin
14,Burkina Faso
15,Bangladesh
16,Bulgaria
17,Bahamas
18,Bosnia and Herz.
19,Belarus
20,Belize
21,Bolivia
22,Brazil
23,Brunei
24,Bhutan
25,Botswana
26,Central African Rep.
27,Canada
28,Switzerland
29,Chile
30,China
31,Côte d'Ivoire
32,Cameroon
33,Dem. Rep. Congo
34,Congo
35,Colombia
36,Costa Rica
37,Cuba
38,N. Cyprus
39,Cyprus
40,Czech Rep.
41,Germany
42,Djibouti
43,Denmark
44,Dominican Rep.
45,Algeria
46,Ecuador
47,Egypt
48,Eritrea
49,Spain
50,Estonia
51,Ethiopia
52,Finland
53,Fiji
54,Falkland Is.
55,France
56,Gabon
57,United Kingdom
58,Georgia
59,Ghana
60,Guinea
61,Gambia
62,Guinea-Bissau
63,Eq. Guinea
64,Greece
65,Greenland
66,Guatemala
67,Guyana
68,Honduras
69,Croatia
70,Haiti
71,Hungary
72,Indonesia
73,India
74,Ireland
75,Iran
76,Iraq
77,Iceland
78,Israel
79,Italy
80,Jamaica
81,Jordan
82,Japan
83,Kazakhstan
84,Kenya
85,Kyrgyzstan
86,Cambodia
87,Korea
88,Kosovo
89,Kuwait
90,Lao PDR
91,Lebanon
92,Liberia
93,Libya
94,Sri Lanka
95,Lesotho
96,Lithuania
97,Luxembourg
98,Latvia
99,Morocco
100,Moldova
101,Madagascar
102,Mexico
103,Macedonia
104,Mali
105,Myanmar
106,Montenegro
107,Mongolia
108,Mozambique
109,Mauritania
110,Malawi
111,Malaysia
112,Namibia
113,New Caledonia
114,Niger
115,Nigeria
116,Nicaragua
117,Netherlands
118,Norway
119,Nepal
120,New Zealand
121,Oman
122,Pakistan
123,Panama
124,Peru
125,Philippines
126,Papua New Guinea
127,Poland
128,Puerto Rico
129,Dem. Rep. Korea
130,Portugal
131,Paraguay
132,Palestine
133,Qatar
134,Romania
135,Russia
136,Rwanda
137,W. Sahara
138,Saudi Arabia
139,Sudan
140,S. Sudan
141,Senegal
142,Solomon Is.
143,Sierra Leone
144,El Salvador
145,Somaliland
146,Somalia
147,Serbia
148,Suriname
149,Slovakia
150,Slovenia
151,Sweden
152,Swaziland
153,Syria
154,Chad
155,Togo
156,Thailand
157,Tajikistan
158,Turkmenistan
159,Timor-Leste
160,Trinidad and Tobago
161,Tunisia
162,Turkey
163,Taiwan
164,Tanzania
165,Uganda
166,Ukraine
167,Uruguay
168,United States
169,Uzbekistan
170,Venezuela
171,Vietnam
172,Vanuatu
173,Yemen
174,South Africa
175,Zambia
